ProductName,CurrentPrice,Description,FamilyBrand,Subtype,Type,Proof,Size,ProofBin
(Ri)1,39.9,"(Ri)1 (pronounced rye one) is a Kentucky straight rye whiskey produced by Beam Global Spirits. This rye whiskey is a quite a bit different from the traditional rye in that it is lighter and sweeter but retains that spicy snap. Despite its confusing name (Ri)1 is a good whiskey and a nice addition to Beam's portfolio. It does have some great cocktail potential and I can see it being used for its unique profile by bartenders to create some interesting new whiskey cocktails. (Ri)1 has a very sweet, citrus aroma with grainy background. Has an extremely smooth entry that leads to a dry, sunny sweet and sour palate with spicy notes and a very light rye. The finish is long and continuously sweet with very light spice throughout.",(Ri)1,Whiskey,Spirits,92.0,750.0,80-120
10 Cane,26.9,"Handcrafted using the first pressing of virgin Trinidadian sugar cane, never molasses, 10 Cane is the smoothest, best tasting rum on Earth. Welcome to the WORLDS BEST RUM. Relax. Stay awhile.",10 Cane,Rum,Spirits,80.0,750.0,40-80
10 Cane Beach Mat VAP,26.9,"Handcrafted using the first pressing of virgin Trinidadian sugar cane, never molasses, 10 Cane is the smoothest, best tasting rum on Earth. Welcome to the WORLDS BEST RUM. Relax. Stay awhile.",10 Cane,Rum,Spirits,80.0,750.0,40-80
123 Certified Organic Anejo Tres,64.4,"On a morning when three brilliant roosters (tototl) greet the dawn with hopeful songs of renewal, mature agave plants at the hacienda are ready to be hand harvested and Organic Blanco tequila awakens from its eighteen months slumber in white oak barrels to be reborn as Anejo (Tres) Tequila. Enjoy Anejo (Tres) tequila as you would any fine, aged spirit by savoring the mastery of its limited production and the mystery of its ancient legend.",123 Certified Organic,Tequila,Spirits,80.0,750.0,40-80
123 Certified Organic Tequila Dos,57.5,"This complex spirit reveals aromatic raw and cooked agave tempered by the warmth of oak aging with spicy notes of vanilla, anise and hint of citrus; a combination equally at home in cocktails and as a sipping tequila making it the most versatile of the 123 Organic Tequila styles.",123 Certified Organic,Tequila,Spirits,80.0,750.0,40-80
1792 Small Batch Bourbon,32.9,"Sophisticated and complex. A distinctly different bourbon created with precise craftsmanship. Made from our signature ""high rye"" recipe and the marriage of select barrels carefully chosen by our Master Distiller. 1792 Bourbon has an expressive and elegant flavor profile. Unmistakable spice mingles with sweet caramel and vanilla to create a bourbon that is incomparably brash and bold, yet smooth and balanced. Elevating whiskey to exceptional new heights, 1792 Bourbon is celebrated by connoisseurs worldwide.",1792 Small Batch Bourbon,Whiskey,Spirits,93.7,750.0,80-120
1800 Anejo,35.9,NA,1800,Tequila,Spirits,80.0,750.0,40-80
1800 Coconut Tequila,34.9,"Coconut flavored spirits are nothing new. There is a vast array of coconut rums on the market. 1800 tequila sets itself apart from these as a wholly different animal. Instead of being infused with natural or artificial flavors it is infused with coconut water. This creates a more subtle coconut flavor thus allowing the flavors of the blue agave to shine through. This is an excellent mixer and it will be a great addition to any home bar for the summertime! A unique infusion of fresh, ripe coconut flavor and 1800 Silver Tequila. 1800 Tequila is made from 100% Blue Agave. Harvested and handpicked from the family owned ranches in Jalisco, Western Mexico.",1800,Tequila,Spirits,70.0,1750.0,40-80
1800 Coconut W/everfresh Pineapple Juice 1l,29.9,NA,1800,Tequila,Spirits,80.0,750.0,40-80
1800 Margarita Cocktail,20.9,"The official margarita of 1800®, pre-mixed with premium tequila. This ready-to-drink margarita is made with the extract of lime for a refreshingly crisp bite and tangy finish. It is delicious on the rocks or blended with ice. Just pour and enjoy.",1800,Cocktails,Spirits,19.9,1750.0,0-40
