GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
0400000US01,01,Alabama,4799277,,4631045,2881,168232,2881
0400000US02,02,Alaska,720316,,669941,1262,50375,1262
0400000US04,04,Arizona,6479703,,5609835,7725,869868,7725
0400000US05,05,Arkansas,2933369,,2799972,2568,133397,2568
0400000US06,06,California,37659181,,27483342,30666,10175839,30666
0400000US08,08,Colorado,5119329,,4623809,5778,495520,5779
0400000US09,09,Connecticut,3583561,,3096374,5553,487187,5553
0400000US10,10,Delaware,908446,,831683,2039,76763,2039
0400000US11,11,District of Columbia,619371,,534142,2017,85229,2017
0400000US12,12,Florida,19091156,,15392410,16848,3698746,16848
0400000US13,13,Georgia,9810417,,8859747,7988,950670,7988
0400000US15,15,Hawaii,1376298,,1129563,4557,246735,4557
0400000US16,16,Idaho,1583364,,1489560,2528,93804,2528
0400000US17,17,Illinois,12848554,,11073828,10091,1774726,10093
0400000US18,18,Indiana,6514861,,6206801,4499,308060,4500
0400000US19,19,Iowa,3062553,,2925492,2046,137061,2046
0400000US20,20,Kansas,2868107,,2677007,3095,191100,3100
0400000US21,21,Kentucky,4361333,,4217644,2801,143689,2801
0400000US22,22,Louisiana,4567968,,4391969,3573,175999,3573
0400000US23,23,Maine,1328320,,1283035,1285,45285,1285
0400000US24,24,Maryland,5834299,,5019550,6376,814749,6376
0400000US25,25,Massachusetts,6605058,,5613350,6376,991708,6376
0400000US26,26,Michigan,9886095,,9281858,5865,604237,5865
0400000US27,27,Minnesota,5347740,,4955703,3843,392037,3847
0400000US28,28,Mississippi,2976872,,2910290,1751,66582,1752
0400000US29,29,Missouri,6007182,,5773617,4238,233565,4239
0400000US30,30,Montana,998554,,978862,862,19692,862
0400000US31,31,Nebraska,1841625,,1724995,2577,116630,2577
0400000US32,32,Nevada,2730066,,2208135,4623,521931,4623
0400000US33,33,New Hampshire,1319171,,1247613,1817,71558,1817
0400000US34,34,New Jersey,8832406,,6963594,9088,1868812,9088
0400000US35,35,New Mexico,2069706,,1866174,4621,203532,4621
0400000US36,36,New York,19487053,,15172350,18267,4314703,18267
0400000US37,37,North Carolina,9651380,,8920612,6272,730768,6272
0400000US38,38,North Dakota,689781,,671212,932,18569,932
0400000US39,39,Ohio,11549590,,11088251,5348,461339,5348
0400000US40,40,Oklahoma,3785742,,3576715,2994,209027,2993
0400000US41,41,Oregon,3868721,,3489060,4559,379661,4559
0400000US42,42,Pennsylvania,12731381,,11971544,6354,759837,6354
0400000US44,44,Rhode Island,1051695,,913736,2557,137959,2557
0400000US45,45,South Carolina,4679602,,4454279,3660,225323,3660
0400000US46,46,South Dakota,825198,,802143,1194,23055,1194
0400000US47,47,Tennessee,6402387,,6105996,4948,296391,4948
0400000US48,48,Texas,25639373,,21451443,16235,4187930,16235
0400000US49,49,Utah,2813673,,2582304,3772,231369,3772
0400000US50,50,Vermont,625904,,600314,1070,25590,1070
0400000US51,51,Virginia,8100653,,7183099,6694,917554,6696
0400000US53,53,Washington,6819579,,5921488,7145,898091,7145
0400000US54,54,West Virginia,1853619,,1827278,1297,26341,1297
0400000US55,55,Wisconsin,5706871,,5440380,3327,266491,3327
0400000US56,56,Wyoming,570134,,551552,1182,18582,1182
