cong,idno,state,cd,statenm,party,name,dwnom1,dwnom2,bootse1,bootse2,corr12,logl,nchoices,errors,gmp
1,4998,1,0, CONNECT,5000, JOHNSON      ,.99299997,-.118,.31439999,.2342,-.1754,-28.021009,82,15,.71100003
1,2936,1,0, CONNECT,5000, ELLSWORTH    ,.509,.59100002,.1204,.1229,-.063100003,-21.201759,97,12,.80400002
1,507,11,0, DELAWAR,4000, BASSETT      ,.119,-.2,.071000002,.1556,.2212,-33.942921,90,18,.68599999
1,7762,11,0, DELAWAR,5000, READ         ,.23999999,-.296,.0726,.112,-.23119999,-31.685061,96,13,.71899998
1,3128,44,0, GEORGIA,4000, FEW          ,-.55699998,-.60399997,.1048,.084899999,-.23549999,-33.58065,85,27,.67400002
1,3877,44,0, GEORGIA,4000, GUNN         ,-.094999999,-.81199998,.070699997,.14650001,-.1857,-49.877998,83,21,.54799998
1,1536,52,0, MARYLAN,5000, CARROLL      ,.167,-.56400001,.081,.1109,.089100003,-53.0476,95,18,.57200003
1,4333,52,0, MARYLAN,5000, HENRY        ,.15099999,-.639,.072300002,.075999998,-.2395,-43.916279,97,31,.63599998
1,2307,3,0, MASSACH,5000, DALTON       ,.80800003,.53200001,.2475,.1142,-.58179998,-22.39241,99,16,.79799998
1,9028,3,0, MASSACH,5000, STRONG       ,.59600002,.80299997,.1928,.104,-.38769999,-14.80638,82,8,.83499998
1,5449,4,0, NEW HAM,5000, LANGDON      ,.36300001,-.35499999,.063299999,.1219,.0155,-43.816238,83,25,.58999997
1,10272,4,0, NEW HAM,4000, WINGATE      ,-.44,.898,.1928,.1042,.3928,-21.073429,98,13,.80699998
1,2943,12,0, NEW JER,5000, ELMER        ,.405,-.059999999,.0955,.16509999,.2149,-37.271881,86,22,.648
1,7231,12,0, NEW JER,5000, PATERSON     ,.898,.115,.2296,.19760001,-.62040001,-16.622511,72,11,.79400003
1,8282,13,0, NEW YOR,5000, SCHUYLER     ,.917,-.398,.26499999,.14399999,.51380002,-20.85103,94,11,.801
1,5270,13,0, NEW YOR,5000, KING         ,.792,-.271,.1488,.1429,.2093,-22.751949,96,11,.78899997
1,4212,47,0, NORTH C,5000, HAWKINS      ,-.106,-.73000002,.043900002,.094599999,-.069200002,-28.32987,73,18,.67799997
1,5012,47,0, NORTH C,5000, JOHNSTON     ,-.0099999998,-.653,.071199998,.088799998,-.097800002,-33.942959,77,21,.64399999
1,5891,14,0, PENNSYL,4000, MACLAY       ,-.676,.43700001,.17470001,.1873,.62169999,-20.37569,79,8,.773
1,6712,14,0, PENNSYL,5000, MORRIS       ,.61799997,-.58600003,.1109,.081799999,.26109999,-38.065338,97,24,.67500001
1,8845,5,0, RHODE I,4000, STANTON      ,-.082999997,-.041999999,.0625,.22579999,-.024599999,-22.746719,61,13,.68900001
1,3315,5,0, RHODE I,5000, FOSTER       ,.214,.63499999,.0704,.18009999,.27680001,-20.192881,61,11,.71799999
1,1346,48,0, SOUTH C,5000, BUTLER       ,-.43099999,-.90200001,.1148,.1443,-.3576,-51.191849,95,28,.583
1,4837,48,0, SOUTH C,5000, IZARD        ,.33000001,-.58600003,.053100001,.1092,-.2559,-52.448662,99,31,.58899999
1,5565,40,0, VIRGINI,4000, LEE          ,-.354,-.54000002,.086599998,.098800004,.1295,-24.27384,91,10,.76599997
1,9747,40,0, VIRGINI,5000, WALKER       ,.15800001,-.98699999,.1349,.1401,.075300001,-26.333891,58,21,.63499999
2,2936,1,0, CONNECT,5000, ELLSWORTH    ,.509,.59100002,.1204,.1229,-.063100003,-9.8415203,52,2,.82800001
2,8457,1,0, CONNECT,5000, SHERMAN      ,-.50400001,-.082999997,.177,.1978,.2308,-16.813101,52,8,.72399998
2,507,11,0, DELAWAR,5000, BASSETT      ,.119,-.2,.071000002,.1556,.2212,-15.27879,36,7,.65399998
2,7762,11,0, DELAWAR,5000, READ         ,.23999999,-.296,.0726,.112,-.23119999,-17.404261,52,9,.71600002
