GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
0500000US01001,01001,"Autauga County, Alabama",54907,,54019,277,888,277
0500000US01003,01003,"Baldwin County, Alabama",187114,,180308,802,6806,802
0500000US01005,01005,"Barbour County, Alabama",27321,,26517,145,804,145
0500000US01007,01007,"Bibb County, Alabama",22754,,22486,86,268,86
0500000US01009,01009,"Blount County, Alabama",57623,,55122,262,2501,262
0500000US01011,01011,"Bullock County, Alabama",10746,,10170,484,576,484
0500000US01013,01013,"Butler County, Alabama",20624,,20467,91,157,91
0500000US01015,01015,"Calhoun County, Alabama",117714,,114892,392,2822,392
0500000US01017,01017,"Chambers County, Alabama",34145,,33786,101,359,101
0500000US01019,01019,"Cherokee County, Alabama",26034,,25849,106,185,106
0500000US01021,01021,"Chilton County, Alabama",43744,,41462,252,2282,252
0500000US01023,01023,"Choctaw County, Alabama",13687,,13646,34,41,34
0500000US01025,01025,"Clarke County, Alabama",25573,,25502,66,71,66
0500000US01027,01027,"Clay County, Alabama",13703,,13403,33,300,33
0500000US01029,01029,"Cleburne County, Alabama",14945,,14728,108,217,108
0500000US01031,01031,"Coffee County, Alabama",50468,,47918,351,2550,351
0500000US01033,01033,"Colbert County, Alabama",54456,,53381,294,1075,294
0500000US01035,01035,"Conecuh County, Alabama",13104,,13029,33,75,33
0500000US01037,01037,"Coosa County, Alabama",11198,,11001,52,197,52
0500000US01039,01039,"Covington County, Alabama",37847,,37332,104,515,104
0500000US01041,01041,"Crenshaw County, Alabama",13955,,13631,54,324,54
0500000US01043,01043,"Cullman County, Alabama",80499,,78076,349,2423,349
0500000US01045,01045,"Dale County, Alabama",50102,,48227,296,1875,296
0500000US01047,01047,"Dallas County, Alabama",43091,,42760,141,331,141
0500000US01049,01049,"DeKalb County, Alabama",71076,,65731,352,5345,352
0500000US01051,01051,"Elmore County, Alabama",79895,,78222,221,1673,221
0500000US01053,01053,"Escambia County, Alabama",38169,,37929,121,240,121
0500000US01055,01055,"Etowah County, Alabama",104260,,101934,238,2326,238
0500000US01057,01057,"Fayette County, Alabama",17110,,17015,69,95,69
0500000US01059,01059,"Franklin County, Alabama",31666,,28995,220,2671,220
0500000US01061,01061,"Geneva County, Alabama",26791,,26300,167,491,167
0500000US01063,01063,"Greene County, Alabama",8934,,8915,25,19,25
0500000US01065,01065,"Hale County, Alabama",15594,,15411,146,183,146
0500000US01067,01067,"Henry County, Alabama",17308,,16806,152,502,152
0500000US01069,01069,"Houston County, Alabama",102326,,99894,241,2432,241
0500000US01071,01071,"Jackson County, Alabama",53171,,52013,217,1158,217
0500000US01073,01073,"Jefferson County, Alabama",658552,,631538,955,27014,955
0500000US01075,01075,"Lamar County, Alabama",14396,,14309,61,87,61
0500000US01077,01077,"Lauderdale County, Alabama",92666,,90741,247,1925,247
0500000US01079,01079,"Lawrence County, Alabama",34009,,33654,129,355,129
0500000US01081,01081,"Lee County, Alabama",144405,,137050,652,7355,652
0500000US01083,01083,"Limestone County, Alabama",85264,,81556,344,3708,344
0500000US01085,01085,"Lowndes County, Alabama",11086,,11065,26,21,26
0500000US01087,01087,"Macon County, Alabama",20803,,20576,84,227,84
0500000US01089,01089,"Madison County, Alabama",339279,,320919,925,18360,925
0500000US01091,01091,"Marengo County, Alabama",20669,,20525,119,144,119
0500000US01093,01093,"Marion County, Alabama",30615,,30303,178,312,178
0500000US01095,01095,"Marshall County, Alabama",93699,,86165,415,7534,415
0500000US01097,01097,"Mobile County, Alabama",413188,,399911,864,13277,864
0500000US01099,01099,"Monroe County, Alabama",22778,,22563,138,215,138
0500000US01101,01101,"Montgomery County, Alabama",228980,,219073,631,9907,631
0500000US01103,01103,"Morgan County, Alabama",119673,,113511,526,6162,526
0500000US01105,01105,"Perry County, Alabama",10390,,10335,42,55,42
0500000US01107,01107,"Pickens County, Alabama",19516,,19462,59,54,59
0500000US01109,01109,"Pike County, Alabama",32977,,31674,376,1303,376
0500000US01111,01111,"Randolph County, Alabama",22819,,22435,152,384,152
0500000US01113,01113,"Russell County, Alabama",55544,,54319,321,1225,321
