GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Native,Margin of Error; Total: - Native,Estimate; Total: - Foreign-Born,Margin of Error; Total: - Foreign-Born
0400000US01,01,Alabama,,$*****,,,,
0400000US02,02,Alaska,,$*****,,,,
0400000US04,04,Arizona,,$*****,,,,
0400000US05,05,Arkansas,,$*****,,,,
0400000US06,06,California,,$*****,,,,
0400000US08,08,Colorado,,$*****,,,,
0400000US09,09,Connecticut,,$*****,,,,
0400000US10,10,Delaware,,$*****,,,,
0400000US11,11,District of Columbia,,$*****,,,,
0400000US12,12,Florida,,$*****,,,,
0400000US13,13,Georgia,,$*****,,,,
0400000US15,15,Hawaii,,$*****,,,,
0400000US16,16,Idaho,,$*****,,,,
0400000US17,17,Illinois,,$*****,,,,
0400000US18,18,Indiana,,$*****,,,,
0400000US19,19,Iowa,,$*****,,,,
0400000US20,20,Kansas,,$*****,,,,
0400000US21,21,Kentucky,,$*****,,,,
0400000US22,22,Louisiana,,$*****,,,,
0400000US23,23,Maine,,$*****,,,,
0400000US24,24,Maryland,,$*****,,,,
0400000US25,25,Massachusetts,,$*****,,,,
0400000US26,26,Michigan,,$*****,,,,
0400000US27,27,Minnesota,,$*****,,,,
0400000US28,28,Mississippi,,$*****,,,,
0400000US29,29,Missouri,,$*****,,,,
0400000US30,30,Montana,,$*****,,,,
0400000US31,31,Nebraska,,$*****,,,,
0400000US32,32,Nevada,,$*****,,,,
0400000US33,33,New Hampshire,,$*****,,,,
0400000US34,34,New Jersey,,$*****,,,,
0400000US35,35,New Mexico,,$*****,,,,
0400000US36,36,New York,,$*****,,,,
0400000US37,37,North Carolina,,$*****,,,,
0400000US38,38,North Dakota,,$*****,,,,
0400000US39,39,Ohio,,$*****,,,,
0400000US40,40,Oklahoma,,$*****,,,,
0400000US41,41,Oregon,,$*****,,,,
0400000US42,42,Pennsylvania,,$*****,,,,
0400000US44,44,Rhode Island,,$*****,,,,
0400000US45,45,South Carolina,,$*****,,,,
0400000US46,46,South Dakota,,$*****,,,,
0400000US47,47,Tennessee,,$*****,,,,
0400000US48,48,Texas,,$*****,,,,
0400000US49,49,Utah,,$*****,,,,
0400000US50,50,Vermont,,$*****,,,,
0400000US51,51,Virginia,,$*****,,,,
0400000US53,53,Washington,,$*****,,,,
0400000US54,54,West Virginia,,$*****,,,,
0400000US55,55,Wisconsin,,$*****,,,,
0400000US56,56,Wyoming,,$*****,,,,
