id,name,city,latitude,longitude,dpcapacity,online_date,
2,Buckingham Fountain,Chicago,41.876393,-87.620328,27,6/10/2013 10:43,
3,Shedd Aquarium,Chicago,41.86722596,-87.61535539,55,6/10/2013 10:44,
4,Burnham Harbor,Chicago,41.856268,-87.613348,23,6/10/2013 10:46,
5,State St & Harrison St,Chicago,41.874053,-87.627716,23,6/10/2013 10:46,
6,Dusable Harbor,Chicago,41.885041,-87.612794,39,6/10/2013 11:18,
7,Field Blvd & South Water St,Chicago,41.88634906,-87.61751655,19,6/19/2013 10:00,
9,Leavitt St & Archer Ave,Chicago,41.82879202,-87.68060446,19,6/21/2013 9:33,
11,Jeffery Blvd & 71st St,Chicago,41.76663824,-87.57645011,11,6/21/2013 9:39,
12,South Shore Dr & 71st St,Chicago,41.76640946,-87.56568757,15,6/21/2013 10:00,
13,Wilton Ave & Diversey Pkwy,Chicago,41.932418,-87.652705,27,6/22/2013 18:29,
14,Morgan St & 18th St,Chicago,41.858086,-87.651073,15,6/22/2013 18:33,
15,Racine Ave & 18th St,Chicago,41.858166,-87.656495,15,6/22/2013 18:35,
16,Paulina Ave & North Ave,Chicago,41.910337,-87.670072,15,6/22/2013 18:55,
17,Honore St & Division St,Chicago,41.903119,-87.673935,23,6/22/2013 18:58,
18,Wacker Dr & Washington St,Chicago,41.883132,-87.637321,19,6/22/2013 19:00,
19,Loomis St & Taylor St (*),Chicago,41.869417,-87.660996,16,6/22/2013 19:03,
20,Sheffield Ave & Kingsbury St,Chicago,41.910522,-87.653106,15,6/22/2013 19:04,
21,Aberdeen St & Jackson Blvd,Chicago,41.87772613,-87.65478743,15,6/22/2013 19:07,
22,May St & Taylor St,Chicago,41.8694821,-87.6554864,15,6/22/2013 19:09,
23,Orleans St & Elm St (*),Chicago,41.902924,-87.637715,16,6/22/2013 20:20,
24,Fairbanks Ct & Grand Ave,Chicago,41.89186,-87.62062,15,6/22/2013 20:23,
25,Michigan Ave & Pearson St,Chicago,41.89766,-87.62351,23,6/22/2013 20:26,
26,McClurg Ct & Illinois St,Chicago,41.890359,-87.617532,31,6/22/2013 20:28,
27,Larrabee St & North Ave,Chicago,41.91021,-87.6435,19,6/22/2013 20:31,
28,Larrabee St & Menomonee St,Chicago,41.91468,-87.64332,15,6/22/2013 20:38,
29,Noble St & Milwaukee Ave,Chicago,41.90068,-87.6626,15,6/22/2013 20:52,
30,Ashland Ave & Augusta Blvd,Chicago,41.899643,-87.6677,15,6/22/2013 20:54,
31,Franklin St & Chicago Ave,Chicago,41.896776,-87.635633,23,6/22/2013 20:58,
32,Racine Ave & Congress Pkwy,Chicago,41.87464,-87.65703,19,6/22/2013 21:00,
33,State St & Van Buren St,Chicago,41.877181,-87.627844,27,6/22/2013 21:06,
34,Cannon Dr & Fullerton Ave,Chicago,41.92675599,-87.63442878,15,6/22/2013 21:09,
35,Streeter Dr & Grand Ave,Chicago,41.892278,-87.612043,47,6/22/2013 21:12,
36,Franklin St & Jackson Blvd,Chicago,41.87770796,-87.63532114,39,6/24/2013 23:34,
37,Dearborn St & Adams St,Chicago,41.87935636,-87.62979104,19,6/25/2013 1:12,
38,Clark St & Lake St,Chicago,41.88602083,-87.63087606,27,6/25/2013 1:43,
39,Wabash Ave & Adams St,Chicago,41.87947235,-87.62568861,23,6/25/2013 1:44,
40,LaSalle St & Adams St,Chicago,41.87934437,-87.63198522,15,6/25/2013 1:44,
41,Federal St & Polk St,Chicago,41.87207763,-87.62954377,19,6/25/2013 1:44,
42,Wabash Ave & Cermak Rd,Chicago,41.852619,-87.626488,11,6/25/2013 7:38,
43,Michigan Ave & Washington St,Chicago,41.88389277,-87.62464914,43,6/25/2013 10:57,
44,State St & Randolph St,Chicago,41.8847302,-87.62773357,27,6/25/2013 10:59,
45,Michigan Ave & Congress Pkwy,Chicago,41.876243,-87.624426,15,6/25/2013 11:01,
46,Wells St & Walton St,Chicago,41.89993001,-87.63443007,19,6/25/2013 11:03,
47,State St & Kinzie St,Chicago,41.889187,-87.627754,31,6/25/2013 11:04,
48,Larrabee St & Kingsbury St,Chicago,41.897764,-87.642884,39,6/25/2013 11:20,
49,Dearborn St & Monroe St,Chicago,41.88131982,-87.62952092,39,6/25/2013 11:21,
50,Clark St & Congress Pkwy,Chicago,41.87593267,-87.63058454,27,6/25/2013 11:23,
51,Clark St & Randolph St,Chicago,41.88457623,-87.63188991,39,6/25/2013 11:24,
52,Michigan Ave & Lake St,Chicago,41.886024,-87.624117,31,6/25/2013 11:25,
53,LaSalle (Wells) St & Huron St,Chicago,41.894882,-87.632326,27,6/25/2013 11:27,
54,Ogden Ave & Chicago Ave,Chicago,41.89636246,-87.65406127,19,6/25/2013 11:28,
55,Halsted St & Roosevelt Rd,Chicago,41.867324,-87.648625,23,6/25/2013 11:33,
56,Desplaines St & Kinzie St,Chicago,41.88871604,-87.64444785,27,6/25/2013 11:50,
57,Clinton St & Roosevelt Rd,Chicago,41.86711778,-87.64108796,15,6/25/2013 11:54,
58,Marshfield Ave & Cortland St,Chicago,41.916017,-87.668879,23,6/25/2013 11:57,
59,Wabash Ave & Roosevelt Rd,Chicago,41.867227,-87.625961,23,6/25/2013 12:06,
60,Dayton St & North Ave,Chicago,41.91057803,-87.64942193,19,6/25/2013 12:08,
61,Wood St & Milwaukee Ave,Chicago,41.907655,-87.672552,19,6/25/2013 12:09,
62,McCormick Place,Chicago,41.85137517,-87.61883465,27,6/25/2013 12:13,
66,Clinton St & Lake St,Chicago,41.885637,-87.641823,23,6/25/2013 12:21,
67,Sheffield Ave & Fullerton Ave,Chicago,41.92560188,-87.65370804,19,6/25/2013 12:23,
68,Clinton St & Tilden St,Chicago,41.875885,-87.640795,23,6/25/2013 12:52,
69,Damen Ave & Pierce Ave,Chicago,41.90939601,-87.67769193,19,6/25/2013 12:53,
71,Morgan St & Lake St,Chicago,41.88548331,-87.65230486,23,6/25/2013 12:55,
72,Wabash Ave & 16th St,Chicago,41.860384,-87.625813,39,6/25/2013 12:56,
73,Jefferson St & Monroe St,Chicago,41.880422,-87.642746,19,6/25/2013 13:08,
74,Kingsbury St & Erie St,Chicago,41.893882,-87.641711,23,6/26/2013 12:19,
75,Canal St & Jackson Blvd,Chicago,41.877245,-87.639366,31,6/26/2013 15:21,
76,Lake Shore Dr & Monroe St,Chicago,41.880958,-87.616743,39,6/26/2013 15:26,
77,Clinton St & Madison St,Chicago,41.882242,-87.641066,31,6/26/2013 15:27,
