vote96,mhealth_sum,age,educ,black,female,married,inc10
1.0,0.0,60.0,12.0,0.0,0.0,0.0,4.814899921417236
1.0,NA,27.0,17.0,0.0,1.0,0.0,1.738700032234192
1.0,1.0,36.0,12.0,0.0,0.0,1.0,8.827300071716309
0.0,7.0,21.0,13.0,0.0,0.0,0.0,1.738700032234192
0.0,NA,35.0,16.0,0.0,1.0,0.0,4.814899921417236
1.0,NA,33.0,16.0,0.0,0.0,0.0,2.5411999225616455
0.0,NA,43.0,12.0,0.0,0.0,0.0,4.814899921417236
0.0,6.0,29.0,13.0,0.0,0.0,0.0,10.699799537658691
1.0,2.0,39.0,18.0,0.0,1.0,1.0,NA
0.0,NA,45.0,15.0,0.0,0.0,0.0,7.222300052642822
1.0,NA,29.0,12.0,0.0,0.0,0.0,5.884900093078613
1.0,1.0,41.0,15.0,1.0,1.0,1.0,8.827300071716309
1.0,NA,32.0,14.0,0.0,1.0,0.0,2.9423999786376953
1.0,2.0,48.0,20.0,0.0,0.0,1.0,8.827300071716309
0.0,9.0,20.0,12.0,0.0,1.0,0.0,7.222300052642822
NA,4.0,43.0,16.0,0.0,0.0,1.0,2.273699998855591
0.0,12.0,27.0,11.0,0.0,1.0,0.0,1.2036999464035034
0.0,2.0,34.0,7.0,0.0,1.0,0.0,NA
0.0,NA,43.0,9.0,0.0,0.0,0.0,0.05350000038743019
1.0,2.0,28.0,16.0,0.0,0.0,1.0,7.222300052642822
1.0,NA,42.0,16.0,0.0,0.0,1.0,14.879599571228027
1.0,0.0,72.0,14.0,0.0,0.0,1.0,4.012400150299072
1.0,1.0,45.0,16.0,0.0,0.0,1.0,14.879599571228027
1.0,1.0,79.0,19.0,0.0,0.0,0.0,7.222300052642822
1.0,NA,81.0,16.0,0.0,1.0,0.0,5.884900093078613
1.0,NA,65.0,18.0,0.0,0.0,1.0,NA
0.0,NA,75.0,12.0,0.0,1.0,0.0,NA
NA,NA,36.0,15.0,0.0,1.0,0.0,NA
1.0,NA,48.0,14.0,0.0,1.0,0.0,4.814899921417236
1.0,NA,61.0,13.0,0.0,1.0,0.0,3.477400064468384
1.0,NA,59.0,16.0,0.0,0.0,0.0,NA
1.0,3.0,73.0,12.0,0.0,0.0,1.0,NA
0.0,0.0,51.0,15.0,0.0,0.0,0.0,NA
1.0,NA,56.0,12.0,0.0,1.0,0.0,NA
0.0,2.0,41.0,14.0,0.0,0.0,0.0,4.814899921417236
1.0,3.0,64.0,13.0,0.0,1.0,0.0,2.5411999225616455
0.0,NA,50.0,16.0,0.0,1.0,0.0,2.5411999225616455
0.0,6.0,31.0,11.0,0.0,0.0,0.0,NA
0.0,2.0,25.0,9.0,0.0,1.0,1.0,0.9629999995231628
0.0,7.0,27.0,12.0,0.0,0.0,1.0,4.012400150299072
1.0,NA,50.0,16.0,0.0,1.0,1.0,NA
1.0,NA,81.0,14.0,0.0,1.0,0.0,NA
1.0,1.0,50.0,16.0,0.0,0.0,1.0,14.879599571228027
NA,NA,19.0,11.0,0.0,1.0,0.0,14.879599571228027
1.0,3.0,71.0,18.0,0.0,1.0,0.0,3.477400064468384
1.0,NA,56.0,17.0,0.0,1.0,1.0,14.879599571228027
1.0,NA,57.0,16.0,0.0,0.0,1.0,NA
1.0,1.0,45.0,16.0,0.0,1.0,0.0,10.699799537658691
1.0,1.0,56.0,16.0,0.0,1.0,0.0,0.8025000095367432
1.0,NA,25.0,16.0,0.0,0.0,0.0,2.9423999786376953
0.0,5.0,38.0,14.0,0.0,0.0,1.0,5.884900093078613
NA,NA,30.0,16.0,0.0,0.0,1.0,2.006200075149536
