x,y,z,value
1,a,r2,-1.4159316097301229
3,t,f1,0.31744024396655923
3,k,n2,0.7281341678451162
3,l,z4,-1.8995494570522224
4,s,x3,-1.1445036471001733
3,d,b2,0.5769360104828809
1,j,k2,0.19832597969540716
1,c,o2,1.0745623984349564
3,r,i1,0.6256565915437625
3,k,a4,-0.6996948257469645
3,y,m3,-0.3964953415122746
3,o,r2,0.004635530741701616
2,o,v2,-0.7480744201569469
4,a,c3,-0.9897248562284039
2,a,g3,1.3600473888877505
4,g,i2,-2.769526125419557
2,p,x2,0.7010930169858953
2,e,q4,1.144115443569672
1,z,m1,0.6261190722409427
1,l,d3,1.4262451896428279
2,v,x4,0.9144472127572151
2,j,u1,-0.018119390510546885
1,v,c3,0.1427473151295293
1,w,z4,0.15230628408084831
1,x,h2,-1.3963726043415983
4,q,e2,0.1991941313930078
3,f,q2,-0.2998439461152071
4,z,a2,0.9285367172603749
4,h,v3,0.37193946485474466
1,y,r3,-0.22507260036523621
2,p,m2,0.6874820614844872
2,q,p2,1.2441160050147992
2,k,m1,1.6780858900087054
3,o,l2,-0.17244951987972132
1,t,d4,0.6707849139784381
4,n,f1,0.8799752754970654
1,q,c2,-0.6974271735510024
2,k,i1,0.7183989498018271
4,q,i3,0.10052146513578739
4,p,d3,-1.0115248285400988
3,h,j3,-0.7035502276516027
3,v,k4,-0.3738892940966364
2,h,h1,0.35919421525753
3,h,g1,0.9135304809314106
2,t,o2,-1.5901248192520725
3,f,a4,-0.48805476060763797
3,y,u4,0.40354475247834903
2,i,f4,-1.0286267697265967
1,t,e1,2.8844572940979822
4,l,v3,1.2910606631901629
1,c,p2,0.11272035271466242
2,d,o1,1.2679187641070144
3,g,w4,0.6027998879691838
3,n,p2,0.8069662312749186
1,n,u2,-0.5566483364880609
3,b,u1,0.7237722716487396
2,t,m2,-0.90342654507213
4,w,n4,0.09465995491204758
1,n,m1,0.2246961914403843
4,p,m1,0.7140444345155621
4,g,r3,-2.0230998068128567
1,z,i3,0.46317096844269556
2,m,q2,-0.9713533785344323
1,s,s4,1.2376168063865194
1,e,j3,-0.31945000187357425
3,j,f2,-0.4652046651118985
2,p,j4,-1.136200299770935
3,x,a3,-1.56042251306508
1,p,z1,0.13826938352070223
3,t,i3,0.6023875371739118
1,t,u1,-0.24514888753421318
4,v,p1,2.959039490515238
1,w,v2,0.7192179600365423
4,w,x2,0.8363701075337037
1,b,n4,0.7253194497544914
3,u,y1,0.23342251407236692
2,l,b3,1.7994704952318348
1,n,g3,0.31721700355460086
2,l,w4,0.14438413638322203
3,x,s4,-1.0626552631650719
4,e,d1,-0.5249408466500946
2,y,q4,0.6937718855562928
1,h,z2,-1.2838522436689181
3,b,f1,0.03989577924112205
1,k,g2,0.5262551778046527
4,x,l2,1.0925034577626382
2,s,l3,-0.48518241212156205
2,k,r1,0.7920388286662426
1,v,b1,0.7764613871809637
4,b,i3,-0.8094341681664241
1,w,x1,-1.311617370180656
4,g,f3,-0.007013528149993004
1,a,z2,0.5789069285376713
1,f,v2,-1.217384347532932
1,z,b3,-1.5276268750052766
3,o,f4,1.0645980851650532
2,o,e2,0.8061200100977357
1,o,z3,-1.0422325319232073
2,z,e2,0.5240222299260568
3,n,d4,-0.26530644479740156
1,c,i2,0.4938212039877629
3,w,c4,1.6494406941370097
2,f,t4,1.115833626311827
1,w,e2,-0.9155006496671713
1,g,z1,-0.9533235886600502
2,t,b1,0.8564628558230981
1,l,o2,0.9682970971612825
1,q,w2,-1.7342609801523772
2,y,o4,1.1262838102080885
1,p,f1,0.5605943339496539
3,v,y2,0.47051822896113765
1,r,m3,0.5835962637726726
4,j,l2,-1.1129516735002487
1,f,a1,-0.1181827330106072
1,t,d2,1.4833119821710528
4,s,y3,1.1163337821190567
4,b,e3,0.5517625167473881
2,q,u1,0.6308313730950755
1,z,z3,0.036367916558749616
4,d,c2,0.289758838881631
3,d,q1,1.4325362709508649
4,l,q3,-0.331783307283025
4,v,o1,0.2678628678614278
4,k,d3,1.3893298276997823
2,s,o4,0.008548599510809557
2,p,n2,-0.9058603195082646
2,i,r2,-2.2310618202542765
3,f,o4,-0.44532179754275997
2,a,u3,-0.09987877065422111
2,g,v3,-0.12100727079038277
4,c,g1,0.16248450090119693
3,t,c4,0.7564318749475324
1,i,a4,0.9556229072709975
2,z,o4,2.0832013948595582
4,p,t1,1.0456582828466565
2,z,r2,0.44686703009397166
4,g,f3,0.006584134594604007
3,o,g2,0.8891979293261216
3,g,v2,0.17467885846541217
4,v,v1,-2.7253103055224503
3,n,a1,8.058469151533389e-5
4,v,u3,1.3355888829974776
2,h,y4,-0.3278045686397006
2,v,v2,0.8179237293162167
2,p,p2,0.7351269555021882
3,f,a2,-0.31011868248052166
3,t,e4,0.17034496306836738
3,i,x3,2.661492702187963
4,t,f1,-0.28732571521655165
3,g,x3,0.7744941290465646
2,r,p4,0.881136280245372
1,p,k3,0.5798639450498222
1,u,l4,0.6714234691942178
4,w,w1,1.016966341508758
1,v,s4,2.43909472457194
4,s,y3,0.8232358712183836
3,g,i1,1.0146781935535942
4,f,n2,-0.7543775544134497
2,q,k1,0.49895679703235496
3,z,q2,-2.337775004329822
2,t,r3,0.23496772434474925
3,f,c4,0.532057052916677
2,g,g4,1.7632319066659023
1,r,r2,-1.459454884597162
1,d,l1,0.6482708755215931
3,i,n1,0.8870753276794167
2,x,a1,0.46570008041774197
1,c,u1,-1.4797801595016549
4,f,t2,-0.7910619538986335
2,s,n1,1.5700846848385843
4,g,z4,-0.9959482438892707
3,k,g4,0.8297689979217142
3,b,n3,-0.9172142202568462
2,x,o1,-1.7854848052874368
2,s,n3,-0.10664996051124251
4,j,j4,-0.7853282338462237
2,l,g3,-0.37758715734300785
3,y,s1,0.4010855378611423
1,q,w4,0.4835402499231242
2,t,b4,0.561744981486318
