song_number,song_name,line_num,line,speaker
1,Alexander Hamilton,1,"How does a bastard, orphan, son of a whore and a",Aaron Burr
1,Alexander Hamilton,2,"Scotsman, dropped in the middle of a forgotten",Aaron Burr
1,Alexander Hamilton,3,"Spot in the Caribbean by providence, impoverished, in squalor",Aaron Burr
1,Alexander Hamilton,4,Grow up to be a hero and a scholar?,Aaron Burr
1,Alexander Hamilton,5,The ten-dollar Founding Father without a father,John Laurens
1,Alexander Hamilton,6,Got a lot farther by working a lot harder,John Laurens
1,Alexander Hamilton,7,By being a lot smarter,John Laurens
1,Alexander Hamilton,8,By being a self-starter,John Laurens
1,Alexander Hamilton,9,"By fourteen, they placed him in charge of a trading charter",John Laurens
1,Alexander Hamilton,10,And every day while slaves were being slaughtered and carted,Thomas Jefferson
1,Alexander Hamilton,11,"Away across the waves, he struggled and kept his guard up",Thomas Jefferson
1,Alexander Hamilton,12,"Inside, he was longing for something to be a part of",Thomas Jefferson
1,Alexander Hamilton,13,"The brother was ready to beg, steal, borrow, or barter",Thomas Jefferson
1,Alexander Hamilton,14,"Then a hurricane came, and devastation reigned",James Madison
1,Alexander Hamilton,15,"Our man saw his future drip, dripping down the drain",James Madison
1,Alexander Hamilton,16,"Put a pencil to his temple, connected it to his brain",James Madison
1,Alexander Hamilton,17,"And he wrote his first refrain, a testament to his pain",James Madison
1,Alexander Hamilton,18,"Well, the word got around, they said, “This kid is insane, man”",Burr
1,Alexander Hamilton,19,Took up a collection just to send him to the mainland,Burr
1,Alexander Hamilton,20,"“Get your education, don't forget from whence you came, and",Burr
1,Alexander Hamilton,21,"The world's gonna know your name. What's your name, man?”",Burr
1,Alexander Hamilton,22,Alexander Hamilton,Alexander Hamilton
1,Alexander Hamilton,23,My name is Alexander Hamilton,Alexander Hamilton
1,Alexander Hamilton,24,And there's a million things I haven't done,Alexander Hamilton
1,Alexander Hamilton,25,"But just you wait, just you wait...",Alexander Hamilton
1,Alexander Hamilton,26,"When he was ten his father split, full of it, debt-ridden",Eliza Hamilton
1,Alexander Hamilton,27,"Two years later, see Alex and his mother bed-ridden",Eliza Hamilton
1,Alexander Hamilton,28,"Half-dead sittin' in their own sick, the scent thick",Eliza Hamilton
1,Alexander Hamilton,29,And Alex got better but his mother went quick,Full Company Except Hamilton (Whispering)
1,Alexander Hamilton,30,"Moved in with a cousin, the cousin committed suicide","George Washington & Company, Both"
1,Alexander Hamilton,31,"Left him with nothin' but ruined pride, something new inside","George Washington & Company, Both"
1,Alexander Hamilton,32,A voice saying,"George Washington & Company, Both"
1,Alexander Hamilton,33,"“Alex, you gotta fend for yourself.”","George Washington & Company, Both"
1,Alexander Hamilton,34,He started retreatin' and readin' every treatise on the shelf,"George Washington & Company, Both"
1,Alexander Hamilton,35,There would have been nothin' left to do,"Burr & Company, Both"
1,Alexander Hamilton,36,For someone less astute,"Burr & Company, Both"
1,Alexander Hamilton,37,He woulda been dead or destitute,"Burr & Company, Both"
1,Alexander Hamilton,38,Without a cent of restitution,"Burr & Company, Both"
1,Alexander Hamilton,39,"Started workin', clerkin' for his late mother's landlord","Burr & Company, Both"
1,Alexander Hamilton,40,Tradin' sugar cane and rum and all the things he can't afford,"Burr & Company, Both"
1,Alexander Hamilton,41,Scammin' for every book he can get his hands on,"Burr & Company, Both"
1,Alexander Hamilton,42,Plannin' for the future see him now as he stands on (ooh),"Burr & Company, Both"
1,Alexander Hamilton,43,The bow of a ship headed for a new land,"Burr & Company, Both"
1,Alexander Hamilton,44,In New York you can be a new man,"Burr & Company, Both"
1,Alexander Hamilton,45,In New York you can be a new man (Just you wait),"Company & Hamilton, Women, Men"
1,Alexander Hamilton,46,In New York you can be a new man (Just you wait),"Company & Hamilton, Women, Men"
1,Alexander Hamilton,47,In New York you can be a new man,"Company & Hamilton, Women, Men"
1,Alexander Hamilton,48,"In New York, New York","Company & Hamilton, Women, Men"
1,Alexander Hamilton,49,Just you wait!,"Company & Hamilton, Women, Men"
1,Alexander Hamilton,50,Alexander Hamilton (Alexander Hamilton),Company
1,Alexander Hamilton,51,We are waiting in the wings for you (waiting in the wings for you),Company
1,Alexander Hamilton,52,You could never back down,Company
1,Alexander Hamilton,53,You never learned to take your time!,Company
1,Alexander Hamilton,54,"Oh, Alexander Hamilton (Alexander Hamilton)",Company
1,Alexander Hamilton,55,When America sings for you,Company
1,Alexander Hamilton,56,Will they know what you overcame?,Company
1,Alexander Hamilton,57,Will they know you rewrote the game?,Company
1,Alexander Hamilton,58,"The world will never be the same, oh",Company
1,Alexander Hamilton,59,The ship is in the harbor now,"Burr, Men, & Company"
1,Alexander Hamilton,60,See if you can spot him,"Burr, Men, & Company"
1,Alexander Hamilton,61,Just you wait,"Burr, Men, & Company"
1,Alexander Hamilton,62,Another immigrant,"Burr, Men, & Company"
1,Alexander Hamilton,63,Comin' up from the bottom,"Burr, Men, & Company"
1,Alexander Hamilton,64,Just you wait,"Burr, Men, & Company"
1,Alexander Hamilton,65,His enemies destroyed his rep,"Burr, Men, & Company"
1,Alexander Hamilton,66,America forgot him,"Burr, Men, & Company"
1,Alexander Hamilton,67,We fought with him,Mulligan/Madison & Lafayette/Jefferson
1,Alexander Hamilton,68,Me? I died for him,Laurens/Philip
1,Alexander Hamilton,69,Me? I trusted him,Washington
1,Alexander Hamilton,70,Me? I loved him,Eliza & Angelica & Peggy/Maria
1,Alexander Hamilton,71,And me? I'm the damn fool that shot him,Burr
1,Alexander Hamilton,72,There's a million things I haven't done,Company
1,Alexander Hamilton,73,But just you wait!,Company
1,Alexander Hamilton,74,"What's your name, man?",Burr
1,Alexander Hamilton,75,Alexander Hamilton!,Company
2,"Aaron Burr, Sir",1,1776. New York City,Company
2,"Aaron Burr, Sir",2,"Pardon me. Are you Aaron Burr, sir?",Hamilton
2,"Aaron Burr, Sir",3,That depends. Who's asking?,Burr
2,"Aaron Burr, Sir",4,"Oh, well, sure, sir",Hamilton
2,"Aaron Burr, Sir",5,"I'm Alexander Hamilton, I'm at your service, sir",Hamilton
2,"Aaron Burr, Sir",6,I have been looking for you,Hamilton
2,"Aaron Burr, Sir",7,I'm getting nervous,Burr
2,"Aaron Burr, Sir",8,Sir…,Hamilton
2,"Aaron Burr, Sir",9,"I heard your name at Princeton. I was seeking an accelerated course of study when I got sort of out of sorts with a buddy of yours. I may have punched him. It's a blur, sir. He handles the financials?",Hamilton
2,"Aaron Burr, Sir",10,You punched the bursar,Burr
2,"Aaron Burr, Sir",11,Yes!,Hamilton
2,"Aaron Burr, Sir",12,"I wanted to do what you did. Graduate in two, then join the revolution. He looked at me like I was stupid, I'm not stupid",Hamilton
2,"Aaron Burr, Sir",13,So how'd you do it? How'd you graduate so fast?,Hamilton
2,"Aaron Burr, Sir",14,It was my parents' dying wish before they passed,Burr
2,"Aaron Burr, Sir",15,You're an orphan. Of course! I'm an orphan,Hamilton
2,"Aaron Burr, Sir",16,"God, I wish there was a war!",Hamilton
2,"Aaron Burr, Sir",17,Then we could prove that we're worth more,Hamilton
2,"Aaron Burr, Sir",18,Than anyone bargained for…,Hamilton
2,"Aaron Burr, Sir",19,Can I buy you a drink?,Burr
2,"Aaron Burr, Sir",20,That would be nice,Hamilton
2,"Aaron Burr, Sir",21,"While we're talking, let me offer you some free advice",Burr
2,"Aaron Burr, Sir",22,Talk less,Burr
2,"Aaron Burr, Sir",23,What?,Hamilton
2,"Aaron Burr, Sir",24,Smile more,Burr
2,"Aaron Burr, Sir",25,Ha,Hamilton
2,"Aaron Burr, Sir",26,Don't let them know what you're against or what you're for,Burr
2,"Aaron Burr, Sir",27,You can't be serious,Hamilton
2,"Aaron Burr, Sir",28,You wanna get ahead?,Burr
2,"Aaron Burr, Sir",29,Yes,Hamilton
2,"Aaron Burr, Sir",30,Fools who run their mouths off wind up dead,Burr
2,"Aaron Burr, Sir",31,Yo yo yo yo yo!,Laurens
2,"Aaron Burr, Sir",32,What time is it?,Laurens
2,"Aaron Burr, Sir",33,Show time!,Laurens/Lafayette/Mulligan
2,"Aaron Burr, Sir",34,Like I said…,Burr
2,"Aaron Burr, Sir",35,Show time! Show time! Yo!,Laurens
2,"Aaron Burr, Sir",36,I'm John Laurens in the place to be!,Laurens
2,"Aaron Burr, Sir",37,"Two pints o' Sam Adams, but I'm workin' on three, uh!",Laurens
2,"Aaron Burr, Sir",38,Those redcoats don't want it with me!,Laurens
2,"Aaron Burr, Sir",39,Cuz I will pop chick-a pop these cops till I'm free!,Laurens
2,"Aaron Burr, Sir",40,"Oui oui, mon ami, je m'appelle Lafayette!",Lafayette
2,"Aaron Burr, Sir",41,The Lancelot of the revolutionary set!,Lafayette
2,"Aaron Burr, Sir",42,I came from afar just to say “Bonsoir!”,Lafayette
2,"Aaron Burr, Sir",43,Tell the King “Casse toi!” Who's the best?,Lafayette
2,"Aaron Burr, Sir",44,C'est moi!,Lafayette
2,"Aaron Burr, Sir",45,Brrrah brraaah! I am Hercules Mulligan,Mulligan
2,"Aaron Burr, Sir",46,"Up in it, lovin' it, yes I heard ya mother said “Come again?”",Mulligan
2,"Aaron Burr, Sir",47,Ayyyyy,Lafayette & Laurens
2,"Aaron Burr, Sir",48,"Lock up ya daughters and horses, of course",Mulligan
2,"Aaron Burr, Sir",49,It's hard to have intercourse over four sets of corsets…,Mulligan
2,"Aaron Burr, Sir",50,Wow,Lafayette
2,"Aaron Burr, Sir",51,"No more sex, pour me another brew, son!",Laurens
2,"Aaron Burr, Sir",52,Let's raise a couple more…,Laurens
2,"Aaron Burr, Sir",53,To the revolution!,Laurens/Lafayette/Mulligan
2,"Aaron Burr, Sir",54,"Well, if it ain't the prodigy of Princeton college!",Laurens
2,"Aaron Burr, Sir",55,Aaron Burr!,Mulligan
2,"Aaron Burr, Sir",56,"Give us a verse, drop some knowledge!",Laurens
2,"Aaron Burr, Sir",57,Good luck with that: you're takin' a stand,Burr
2,"Aaron Burr, Sir",58,You spit. I'm ‘a sit. We'll see where we land,Burr
2,"Aaron Burr, Sir",59,Boooo!,Lafayette/Mulligan
2,"Aaron Burr, Sir",60,"Burr, the revolution's imminent. What do you stall for?",Laurens
2,"Aaron Burr, Sir",61,"If you stand for nothing, Burr, what'll you fall for?",Hamilton
2,"Aaron Burr, Sir",62,Ooh,Mulligan/Lafayette/Laurens
2,"Aaron Burr, Sir",63,Who you?,Mulligan/Lafayette/Laurens
2,"Aaron Burr, Sir",64,Who you?,Mulligan/Lafayette/Laurens
2,"Aaron Burr, Sir",65,Who are you?,Mulligan/Lafayette/Laurens
2,"Aaron Burr, Sir",66,"Ooh, who is this kid? What's he gonna do?",Mulligan/Lafayette/Laurens
3,My Shot,1,I am not throwing away my shot!,Hamilton
3,My Shot,2,I am not throwing away my shot!,Hamilton
3,My Shot,3,"Hey yo, I'm just like my country",Hamilton
3,My Shot,4,"I'm young, scrappy and hungry",Hamilton
3,My Shot,5,And I'm not throwing away my shot!,Hamilton
3,My Shot,6,I'ma get a scholarship to King's College,Hamilton
3,My Shot,7,"I prob'ly shouldn't brag, but dag, I amaze and astonish",Hamilton
3,My Shot,8,The problem is I got a lot of brains but no polish,Hamilton
3,My Shot,9,I gotta holler just to be heard,Hamilton
3,My Shot,10,"With every word, I drop knowledge!",Hamilton
3,My Shot,11,"I'm a diamond in the rough, a shiny piece of coal",Hamilton
3,My Shot,12,Tryin' to reach my goal. My power of speech: unimpeachable,Hamilton
3,My Shot,13,Only nineteen but my mind is older,Hamilton
3,My Shot,14,"These New York City streets get colder, I shoulder",Hamilton
3,My Shot,15,"Ev'ry burden, ev'ry disadvantage",Hamilton
3,My Shot,16,"I have learned to manage, I don't have a gun to brandish",Hamilton
3,My Shot,17,I walk these streets famished,Hamilton
3,My Shot,18,The plan is to fan this spark into a flame,Hamilton
3,My Shot,19,"But damn, it's getting dark, so let me spell out the name",Hamilton
3,My Shot,20,I am the—,Hamilton
3,My Shot,21,A-L-E-X-A-N-D,Hamilton/Lafayette/Mulligan/Laurens
3,My Shot,22,E-R—we are—meant to be…,Hamilton/Lafayette/Mulligan/Laurens
3,My Shot,23,A colony that runs independently,Hamilton
3,My Shot,24,"Meanwhile, Britain keeps shittin' on us endlessly",Hamilton
3,My Shot,25,"Essentially, they tax us relentlessly",Hamilton
3,My Shot,26,"Then King George turns around, runs a spending spree",Hamilton
3,My Shot,27,He ain't ever gonna set his descendants free,Hamilton
3,My Shot,28,So there will be a revolution in this century,Hamilton
3,My Shot,29,Enter me!,Hamilton
3,My Shot,30,(He says in parentheses),Lafayette/Mulligan/Laurens
3,My Shot,31,Don't be shocked when your hist'ry book mentions me,Hamilton
3,My Shot,32,I will lay down my life if it sets us free,Hamilton
3,My Shot,33,"Eventually, you'll see my ascendancy",Hamilton
3,My Shot,34,And I am not throwing away,Hamilton & Laurens
3,My Shot,35,My shot (my shot),Hamilton & Laurens
3,My Shot,36,I am not throwing away,Hamilton & Laurens
