x,y,z,value
1,c,f1,-1.816897531632109
3,e,m1,0.6271668439049923
3,s,q1,0.5180921026434537
3,r,y2,0.14092183008203396
4,c,e2,1.4572719461198353
3,s,h1,-0.4935965220301302
1,k,k1,-2.122244061867927
1,k,b2,-0.13356660125870706
3,a,h2,-0.42760035348317466
3,x,m1,0.08779481052181459
3,b,u2,-0.8982828186682696
3,g,q3,0.9306037183727454
2,g,x3,0.9686132274754503
4,e,a1,-0.006787436978000405
2,q,h1,-0.4654915807281887
4,v,w2,-0.882634101693821
2,p,u4,1.1203563169044637
2,f,u3,0.33221727657773775
1,v,z2,0.761216901832049
1,j,p1,0.6079879959008946
2,r,s1,-0.5186374538561679
2,e,m2,0.9984071588963181
1,r,s1,1.0739792888497033
1,w,b1,0.41066211710900347
1,e,v2,1.1086917757909398
4,c,o1,-0.8264102101899736
3,d,j3,0.559640381945354
4,z,s4,-0.7834657936380105
4,h,e3,-0.4861296598544823
1,q,e2,-0.006336556301099625
2,a,u4,2.4654494236346665
2,o,m4,-0.9607725935310474
2,m,k4,0.131171187934109
3,c,u2,0.9356724478104987
1,k,n4,-1.4048887514887987
4,o,r1,-1.9187281166002466
1,h,f4,0.7642659734091403
2,d,e1,-1.4530167456861665
4,o,a2,2.022093432183151
4,f,g3,0.3259731354654175
3,b,t2,-1.6622050200753935
3,l,g1,0.5850082803973535
2,a,p2,-2.1036036777753884
3,w,x4,-0.992542022522072
2,s,l4,-2.1983258631687796
3,d,f4,-0.2729050932287973
3,e,b2,0.5358827672149229
2,t,v2,-2.2777184625139633
1,e,n3,0.6898198004597553
4,j,w2,1.2728793122983753
1,i,g2,0.31685735375251484
2,o,m4,2.26278836379681
3,f,g3,-0.859018305328595
3,e,g2,-1.0357982293387145
1,x,v3,0.5663900151976978
3,h,p2,-0.0686079181105926
2,w,v2,1.3656417434951442
4,u,u3,-0.09873943650436866
1,n,q1,0.6606144810262771
4,z,c3,0.8529347669353156
4,k,j2,-0.012916024169413832
1,t,p3,0.04066135154575996
2,h,n4,-0.43426785062602574
1,m,r2,-1.322352199677013
1,v,j4,-0.8236389545792271
3,m,d4,0.08846929904237937
2,p,e2,-0.22096273230134328
3,w,c4,-0.5697842897653359
1,p,i3,0.6309129834369417
3,b,a2,-1.2745144816049516
1,b,p2,0.09342081563013921
4,k,v2,-0.0965118744390396
1,v,o2,0.5627289758642712
4,i,a3,-0.9191040113441744
1,h,o1,-0.06027364296371472
3,n,y1,0.4197491455651008
2,q,z3,-0.9355979309327318
1,t,w1,-2.2245717555956777
2,n,a1,-1.1932390855607231
3,y,f3,-0.044978938484731015
4,x,b1,1.2417082746255026
2,y,n2,1.4081645528515307
1,x,s1,0.9127831430564626
3,d,s4,-0.9077326882430441
1,x,m4,-1.6324276575883219
4,r,n1,-0.9945720917627027
2,m,p4,1.2823184639997445
2,j,g2,-1.4572745903234483
1,l,f2,-0.5623554515662562
4,e,h3,-1.04465278087138
1,n,a1,-0.17173539041544517
4,k,v1,-0.25008111569161295
1,r,o4,0.5227512349851564
1,t,l3,-1.595028941165109
1,m,r3,-0.3457045585881408
3,g,x2,0.8021027076538587
2,c,a2,-2.286122039413123
1,z,n2,2.4477402519495945
2,e,w3,-0.5664782559478947
3,p,k2,-0.376774409820916
1,d,x4,1.5343981071967385
3,r,f4,-1.385630375884535
2,g,k4,0.4941151959093237
1,w,c2,0.8324417834224039
1,x,w2,0.45381982108388363
2,y,d1,0.3475117082697646
1,m,l3,0.6067059376168719
1,t,x2,0.4306744918729824
2,t,n3,1.053060976770189
1,f,r4,-0.7389298462360341
3,m,s4,0.1612629928410946
1,x,k2,-0.5052461382846539
4,v,m1,-0.07053675782520046
1,r,s1,-1.765805340057021
1,a,u1,-1.6545451959880133
4,t,o4,-0.32722075910063786
4,i,h4,0.781606073436364
2,r,s3,-1.5540821981406685
1,m,c1,0.9694260048293003
4,i,n4,0.9103280635608387
3,q,o3,-0.6971094718345068
4,t,b2,0.6515645554111541
4,k,z3,-1.5822475451112847
4,m,s2,-1.3174560611075643
2,k,r1,0.05563170518822969
2,d,b1,0.1541858647031861
2,w,p3,1.1224678137821662
3,l,w2,-0.7087271314980613
2,t,a4,-0.5163103329606314
2,c,n2,0.15760111449121655
4,j,h1,1.337167536552145
3,r,j2,-0.5373524364017815
1,m,v2,-0.6016390327880513
2,p,s4,2.017769336041351
4,t,j4,-1.3577536325682942
2,p,b4,-0.036285727226409804
4,b,l2,-0.6383829628457715
3,q,t1,-0.4697599057841112
3,u,m1,-0.47424632444116727
4,l,q4,-0.44686496249572044
3,x,h4,0.43278362111795854
4,o,r1,0.6252897500772742
2,h,a1,0.4809393983501369
2,v,s3,0.7140270474046639
2,n,v4,0.085213598476872085
3,m,l2,-0.03431076645906945
3,b,g1,-0.01602380665333526
3,y,e1,-0.4440623626045613
4,l,b1,-0.7550534416392177
3,b,h2,-1.707568038520629
2,p,g2,1.417135768447168
1,s,v2,0.15030766883964541
1,f,n4,0.5871833424296766
4,v,x1,-0.22240676221188946
1,l,l2,1.2539332916273414
4,o,t4,-0.41568485489603635
3,e,m2,0.9222361601317425
4,l,x2,-0.7022068661646228
2,m,u2,0.30516931197754776
3,x,u2,-0.6103681705675841
2,k,g2,1.459333859547038
3,p,j1,0.9896269558956826
2,r,m1,-1.57301055453678
1,v,y2,0.3469139103216474
1,u,c2,0.2929814256190979
3,t,i1,-1.7833685003737447
2,y,p1,0.6728712766971576
1,t,v4,1.5735131845858756
4,u,x1,1.9009883725789463
2,p,r1,1.1012835004663495
4,i,w1,-0.9306581663971424
3,k,h2,0.5876658644039405
3,l,v3,0.5661355847980034
2,p,n2,-0.297673323673651
2,y,u2,-1.0959771253716084
4,u,k3,0.9003219419546761
2,d,v2,0.4698141451871392
3,t,o2,-0.86652117769639
1,l,x4,-1.0776825541252442
2,f,g1,-0.8523856234962947
2,z,d4,-0.05753031288943658
2,e,x3,-0.7320253513389742
3,j,z4,0.37875108355661224
1,b,v4,0.7394025047725109
4,d,q3,-0.4785279071751579
1,c,s2,-0.6748541013146859
4,p,z4,1.4766034896982443
3,m,v3,1.0236918303940286
2,c,z4,-0.1931029176412661
3,j,a1,2.085397516854258
3,c,w4,-1.410981906424497
4,h,g2,0.845447411376832
1,k,g3,1.526132701226323
4,i,r1,0.23111720142636194
4,d,s3,-0.5390040887245194
4,g,r1,-0.3987832509210085
4,i,m1,0.26571670170356065
3,x,h4,0.2938137275977122
4,x,m2,0.3783768081144097
3,y,u2,2.636828230450082
3,z,z4,-0.391176338575421
3,d,j4,-0.6816401995299045
2,g,q3,1.9947001835420504
4,a,f1,-0.0524411997493772
3,i,n3,-1.4639081946253814
3,q,p4,-0.20293744390739987
2,p,n1,0.2752837784408607
2,f,o3,0.036705291410136974
1,d,a1,-3.0295083801252125
4,r,m2,-2.2327400355926903
3,m,f3,1.6889805049348232
2,l,q4,0.4559856312036714
1,d,b3,0.2094780330115284
4,f,f4,0.7892835829102787
3,f,t1,1.872210481394405
4,h,l3,0.301909027822792
3,l,n2,0.3249928773981426
3,x,z3,1.5264748185091124
2,m,d4,0.1303972074587204
4,o,i2,0.2997266486716639
2,u,y4,0.27366574626328477
1,h,a3,0.7195163266295143
2,i,v2,-0.25566438829991367
2,q,t4,-1.534348885491698
1,s,r1,0.3948589469246388
2,r,w2,-0.412787510226875
4,b,t2,-1.2282996699135216
2,p,a4,-1.2890106868816014
3,p,d2,-0.12486299307051404
2,e,c3,0.43873019885711395
4,u,j2,-0.6924548380492608
3,t,u1,-0.9837544289543068
1,m,r4,-0.019169570473699656
4,o,z1,0.14810038986163812
3,l,d1,1.6233268066710174
1,h,x2,-0.27301975001754497
3,i,z1,-1.0177172865153037
2,u,k3,0.6172317070689389
2,o,x1,-0.41036129877856764
4,p,p2,-0.897829817528686
2,u,w2,-0.18861685994282867
1,b,h3,0.5904454329617842
1,v,n3,0.3647243173668178
3,n,k3,-1.1582966993944084
4,p,c1,0.3917892808362658
2,o,y1,-1.0134028468842922
4,h,w2,0.8778392883522484
3,e,e2,0.3779113581721354
4,y,y4,1.484977945172532
4,w,c1,0.08607471111095272
3,v,q2,0.4080673444571374
3,s,p2,0.9659591909473267
2,e,i2,-0.0011529125982714264
2,a,g3,1.5713515362491042
1,p,s1,0.36504075256157503
3,u,o3,-0.945698479640047
2,b,r4,-1.059864794129039
1,a,b2,1.4708793999862226
3,b,f3,1.5951472753805642
3,o,r4,1.5549306549435886
4,f,h4,0.12023243562556007
1,o,v3,-0.6339929237056584
3,n,p2,-0.9151516252521674
2,r,n1,0.6729730666493089
1,h,v3,-0.9033424524610371
1,y,k3,0.13152879560257363
3,x,z1,1.080511111370375
1,s,l3,-0.6143985296789908
1,z,d3,0.8855723869150763
3,j,c2,1.2012318846947363
2,v,h2,2.320550938138477
4,k,m3,-0.5398338102941234
2,x,x3,-1.2500967125511495
4,r,e1,-1.7409728916923202
1,u,o1,-0.3244386409145037
3,j,i3,-0.9239241643015119
4,w,t3,0.1082789765513067
3,y,b2,-0.4113371651560091
2,z,e2,0.40504065487428337
2,h,x3,1.1111044843969933
2,g,j2,0.7221375439961788
2,b,z3,-0.2509952106144607
4,d,q3,1.6160087260749132
4,c,r2,-1.9252013839259756
3,z,e4,1.471730113379733
2,l,v3,-0.4040760615266807
2,h,x2,1.0866207678968993
2,l,e4,-0.6124365697889578
3,c,c1,0.8491107469205288
4,t,h4,-0.11534995909017985
3,d,u4,-0.766592863893656
2,w,l4,0.8210978804676683
4,u,o2,0.92495024140931
1,o,r2,0.10483197813055865
3,h,c4,-1.7211226330648506
4,i,d3,1.1074662402837923
3,i,y4,-0.7221615307005119
1,c,f2,0.4775904159546377
3,j,o4,0.29626256035171167
2,y,v2,0.7670685247029292
2,v,j3,-0.20521881115020424
4,o,k1,1.0834371047841038
3,m,s3,1.0816067592825769
2,o,m4,-0.7797684298747349
4,v,l2,-2.5055111342082927
2,t,l4,0.620080167577664
1,n,k3,-1.2942140135103013
4,w,y2,0.2831334950030714
3,w,g3,1.3783766791373515
4,g,z3,0.06582431837616852
4,u,s3,-0.5205437608603998
3,o,e4,-0.0638864798468477
2,s,d2,-1.7471666238342392
2,d,p4,0.9517742699854111
1,t,o2,-0.6985401820357491
1,i,m3,-0.1607712055413366
1,a,l3,0.37284406102121037
2,y,j4,-0.9592617305691907
2,l,j1,-1.5888200136621555
4,i,v3,0.7396427178460337
1,j,t2,-0.7818182878028425
4,s,k3,0.40366954340998873
2,b,r2,-1.259324788085852
1,o,j1,1.416820927953983
2,o,k2,-0.965730910835762
2,t,t3,-0.2042865273476074
2,t,s2,-0.7406916379978968
1,d,x1,-1.4055484115878016
3,s,b1,0.7258901342773083
4,m,g4,-0.9176902071769475
3,g,e4,1.3594337430479406
4,v,f4,0.28041155686102237
4,q,n4,0.47200863655072994
1,r,n4,-1.6481775483513563
2,r,y4,0.5157179395674777
2,n,h4,0.014110500042419967
2,z,d2,0.5504399535608138
