Artist,Album,Title,Lyrics
Taylor Swift,evermore,​willow,I'm like the water when your ship rolled in that night
Taylor Swift,evermore,​willow,"Rough on the surface, but you cut through like a knife"
Taylor Swift,evermore,​willow,And if it was an open-shut case
Taylor Swift,evermore,​willow,I never would've known from that look on your face
Taylor Swift,evermore,​willow,Lost in your current like a priceless wine
Taylor Swift,evermore,​willow,"The more that you say, the less I know"
Taylor Swift,evermore,​willow,"Wherever you stray, I follow"
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,Life was a willow and it bent right to your wind
Taylor Swift,evermore,​willow,"Head on the pillow, I could feel you sneakin' in"
Taylor Swift,evermore,​willow,As if you were a mythical thing
Taylor Swift,evermore,​willow,Like you were a trophy or a champion ring
Taylor Swift,evermore,​willow,And there was one prize I'd cheat to win
Taylor Swift,evermore,​willow,"The more that you say, the less I know"
Taylor Swift,evermore,​willow,"Wherever you stray, I follow"
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,You know that my train could take you home
Taylor Swift,evermore,​willow,Anywhere else is hollow
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,Life was a willow and it bent right to your wind
Taylor Swift,evermore,​willow,They count me out time and time again
Taylor Swift,evermore,​willow,Life was a willow and it bent right to your wind
Taylor Swift,evermore,​willow,But I come back stronger than a '90s trend
Taylor Swift,evermore,​willow,"Wait for the signal, and I'll meet you after dark"
Taylor Swift,evermore,​willow,Show me the places where the others gave you scars
Taylor Swift,evermore,​willow,Now this is an open-shut case
Taylor Swift,evermore,​willow,I guess I should've known from the look on your face
Taylor Swift,evermore,​willow,Every bait-and-switch was a work of art
Taylor Swift,evermore,​willow,"The more that you say, the less I know"
Taylor Swift,evermore,​willow,"Wherever you stray, I follow"
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,You know that my train could take you home
Taylor Swift,evermore,​willow,Anywhere else is hollow
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,"The more that you say, the less I know"
Taylor Swift,evermore,​willow,"Wherever you stray, I follow"
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,You know that my train could take you home
Taylor Swift,evermore,​willow,Anywhere else is hollow
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​willow,"Hey, that's my man"
Taylor Swift,evermore,​willow,That's my man
Taylor Swift,evermore,​willow,"Yeah, that's my man"
Taylor Swift,evermore,​willow,Every bait-and-switch was a work of art
Taylor Swift,evermore,​willow,That's my man
Taylor Swift,evermore,​willow,"Hey, that's my man"
Taylor Swift,evermore,​willow,I'm begging for you to take my hand
Taylor Swift,evermore,​willow,"Wreck my plans, that's my man"
Taylor Swift,evermore,​champagne problems,You booked the night train for a reason
Taylor Swift,evermore,​champagne problems,So you could sit there in this hurt
Taylor Swift,evermore,​champagne problems,Bustling crowds or silent sleepers
Taylor Swift,evermore,​champagne problems,You're not sure which is worse
Taylor Swift,evermore,​champagne problems,Because I dropped your hand while dancing
Taylor Swift,evermore,​champagne problems,Left you out there standing
Taylor Swift,evermore,​champagne problems,Crestfallen on the landing
Taylor Swift,evermore,​champagne problems,Champagne problems
Taylor Swift,evermore,​champagne problems,Your mom's ring in your pocket
Taylor Swift,evermore,​champagne problems,My picture in your wallet
Taylor Swift,evermore,​champagne problems,"Your heart was glass, I dropped it"
Taylor Swift,evermore,​champagne problems,Champagne problems
Taylor Swift,evermore,​champagne problems,You told your family for a reason
Taylor Swift,evermore,​champagne problems,You couldn't keep it in
Taylor Swift,evermore,​champagne problems,Your sister splashed out on the bottle
Taylor Swift,evermore,​champagne problems,Now no one's celebrating
Taylor Swift,evermore,​champagne problems,"Dom Pérignon, you brought it"
Taylor Swift,evermore,​champagne problems,No crowd of friends applauded
Taylor Swift,evermore,​champagne problems,Your hometown skeptics called it
Taylor Swift,evermore,​champagne problems,Champagne problems
Taylor Swift,evermore,​champagne problems,"You had a speech, you're speechless"
Taylor Swift,evermore,​champagne problems,Love slipped beyond your reaches
Taylor Swift,evermore,​champagne problems,And I couldn't give a reason
Taylor Swift,evermore,​champagne problems,Champagne problems
Taylor Swift,evermore,​champagne problems,Your Midas touch on the Chevy door
Taylor Swift,evermore,​champagne problems,November flush and your flannel cure
Taylor Swift,evermore,​champagne problems,"""This dorm was once a madhouse"""
Taylor Swift,evermore,​champagne problems,"I made a joke, ""Well, it's made for me"""
Taylor Swift,evermore,​champagne problems,"How evergreen, our group of friends"
